Juízo;1;2;3;4;5;6;7;8;9;11;12;13;17;18;19;23;24;91;98;99
01/2012;10426;314;1848;53;1212;314;1285;3266;4219;0;2;1;4;64;377;0;0;451;69845;97684
02/2012;12773;4109;2392;74;1428;4109;2177;3480;5018;0;37;2;21;113;380;0;0;704;71855;102629
03/2012;14179;632;2912;118;1241;632;2137;3725;5716;0;9;9;43;182;379;0;0;866;73156;108416
04/2012;12285;491;2873;107;854;491;2744;3588;5915;0;35;10;16;138;86;0;0;798;73407;111094
05/2012;13397;529;3612;284;959;529;2394;3817;7408;0;59;19;23;444;380;0;0;698;74018;114270
06/2012;13844;468;2421;97;1618;468;2658;3681;6456;0;17;29;0;0;0;0;0;687;75660;118537
07/2012;13162;490;3329;139;1071;490;2767;4229;7336;0;41;33;17;202;61;0;0;623;75572;120599
08/2012;15245;437;2861;111;716;437;1990;4161;7136;0;30;23;7;287;71;0;0;592;78950;125048
09/2012;12023;457;3589;132;556;457;3116;3459;7485;0;9;37;18;189;45;0;0;544;79904;125634
10/2012;13190;556;4240;173;380;556;4196;3460;7429;0;42;28;30;222;211;0;0;571;80279;126548
11/2012;12833;501;3479;227;386;501;2654;3564;7099;0;41;22;56;418;438;0;0;651;81361;128979
12/2012;10037;341;2030;116;251;342;2733;2156;4042;0;36;22;39;234;257;0;0;686;82606;131696
01/2013;11414;406;2753;149;456;406;2871;4180;6526;0;19;26;2;57;395;0;0;1025;82847;131909
02/2013;12537;3060;2510;227;388;3060;2656;3660;6663;0;6;29;5;243;199;0;0;1003;83396;134268
03/2013;12728;484;2785;177;341;484;2509;3074;6995;0;4;20;22;232;173;0;0;904;84774;137081
04/2013;16618;616;4651;236;215;616;3733;4622;8742;0;18;23;13;420;277;0;0;770;88294;140771
05/2013;13716;655;4317;251;176;655;5000;3674;7377;0;14;12;37;370;454;0;0;813;87842;142473
06/2013;14204;920;3652;182;330;920;3533;4603;8168;0;9;16;7;207;332;0;0;927;88343;143441
07/2013;14646;710;4711;248;431;710;3501;5374;8273;0;40;17;128;232;272;0;0;835;88465;144511
08/2013;14016;682;4393;217;283;682;4515;4527;9156;0;23;23;9;369;185;0;0;640;87640;143833
09/2013;12910;682;4777;162;207;684;4123;3692;8037;0;22;13;8;120;215;0;0;719;87065;144017
10/2013;15838;654;6195;232;573;655;6182;4460;8455;0;22;28;34;181;218;0;0;711;88338;146105
11/2013;14441;657;4138;138;276;657;4101;3851;7732;0;12;21;9;250;551;0;0;993;89109;148320
12/2013;12741;571;4475;115;149;571;3783;3284;5531;0;10;16;222;362;289;0;0;696;90566;151191
01/2014;14314;758;5067;155;154;758;4275;4555;7418;0;20;15;47;95;374;0;0;918;90331;152678
02/2014;23144;840;5591;212;2091;840;6599;5007;10167;0;9;17;44;164;335;0;0;1034;95422;160086
03/2014;22528;877;5986;182;14918;877;26004;4905;8920;0;6;14;119;260;754;0;0;1404;96675;162062
04/2014;22283;856;5537;189;3824;856;15579;4604;8419;0;23;21;55;318;612;0;0;1642;99464;163127
05/2014;23392;947;6385;242;968;947;14419;4530;8616;0;23;23;68;375;348;0;0;1542;101824;164359
06/2014;21085;1328;6732;300;467;1328;11566;4607;10743;0;11;23;52;374;141;0;0;1256;103490;163343
07/2014;21557;1312;7534;202;391;1312;10786;4726;9454;0;29;13;42;531;352;0;0;1032;107168;165283
08/2014;18997;1118;9415;175;188;1118;17849;4653;9326;0;17;14;30;629;188;0;0;579;103250;160296
09/2014;17076;2891;7629;237;136;2891;16127;4559;9430;0;27;17;28;275;545;0;0;821;96595;152323
10/2014;18204;1066;7443;343;417;1067;11644;4739;9929;0;35;20;65;431;633;0;0;953;95239;150649
11/2014;16333;838;7414;179;376;838;8350;3718;8427;0;27;24;68;297;469;0;0;1058;97157;152225
12/2014;13201;1135;7067;148;384;1135;6139;2815;6385;0;6;21;101;289;466;0;0;1138;99223;155834
01/2015;10371;600;13097;215;299;600;6603;2314;7993;0;27;12;116;252;644;0;0;1413;99580;160598
02/2015;12306;852;8089;219;343;852;6163;3903;10416;0;22;16;184;450;869;0;0;1644;97986;158302
03/2015;16347;962;7621;332;609;962;7915;4302;11443;0;14;21;259;809;1053;0;0;1625;97039;157051
04/2015;15539;929;10510;321;248;929;6914;3560;9515;0;13;18;208;651;844;0;0;1623;100812;161303
05/2015;14359;1556;19053;373;387;1556;8559;3629;9802;0;40;18;167;486;1170;0;0;2134;106140;170184
06/2015;16070;2263;12804;217;447;2263;4306;3190;7665;0;15;18;169;629;727;0;0;2059;115990;180244
07/2015;16822;724;12628;172;282;724;4740;3213;7710;0;13;9;317;736;828;0;0;1828;124269;191970
08/2015;17423;975;9507;197;356;975;6773;3298;7570;0;10;13;234;512;584;0;0;1665;131432;199872
09/2015;15629;1543;7236;223;553;1543;4901;3412;8223;0;16;18;245;543;778;0;0;1644;135231;205407
10/2015;13367;3142;11380;954;878;3142;6486;4048;10183;0;20;16;184;565;1042;0;0;1916;136490;209786
11/2015;15620;1438;8429;324;253;1438;8250;3969;10705;0;49;24;175;792;641;0;0;1583;134571;209400
12/2015;11916;874;8435;207;194;874;4833;2451;7548;0;33;10;80;493;390;0;0;1387;136426;213313
01/2016;12242;652;8813;193;161;652;13612;2283;6790;0;28;21;62;226;404;0;0;1492;132901;210015
02/2016;14896;1028;12337;250;614;1028;21930;4773;12984;0;47;32;112;442;694;0;0;1609;120618;193247
03/2016;16999;1136;8130;339;412;1136;16224;4673;10132;0;45;47;135;469;635;0;0;1629;114267;185827
04/2016;13790;4506;8292;307;115;4506;8698;3404;9810;0;32;42;168;596;669;0;0;1524;112881;183968
05/2016;19733;1392;9598;865;702;1392;8811;4349;9519;0;45;30;136;384;911;0;0;1892;116899;187409
06/2016;14917;2204;8875;423;2778;2204;13037;4145;11239;0;49;45;159;622;692;0;0;1779;114822;182573
07/2016;14709;1030;15122;410;166;1030;14847;4120;9734;0;75;39;174;530;836;0;0;1903;113324;180678
08/2016;17487;1017;7546;446;810;1015;9909;4099;11838;0;52;46;178;571;1029;0;0;2152;112989;178355
09/2016;18388;1225;12564;603;295;1225;9165;3896;9904;0;79;43;198;614;1101;0;0;2414;119205;184257
10/2016;14826;2526;8637;337;201;2526;12568;3666;10534;0;48;53;198;841;948;0;0;2301;115251;178111
11/2016;15293;1538;10051;330;155;1538;9527;3908;10400;0;60;37;239;815;1130;0;0;2357;114272;176528
12/2016;14537;992;5779;195;74;992;4880;1697;6550;0;31;29;139;494;686;0;0;2395;120896;182388
01/2017;10360;686;6474;332;119;686;6181;2208;7266;0;35;44;121;431;744;0;0;2528;121569;182247
02/2017;13288;1074;8369;241;215;1074;8145;3567;10005;0;34;52;147;577;809;0;0;2525;120416;179595
03/2017;19073;1414;8977;598;296;1414;10492;3914;12378;0;69;71;164;963;1377;0;0;2653;120994;178611
04/2017;13552;954;7559;464;250;954;6397;3514;9298;0;33;51;189;787;795;0;0;2398;121964;179536
05/2017;15813;1104;9347;763;407;1104;10221;3473;12258;0;55;55;222;1049;1733;0;0;2768;120185;177667
06/2017;14425;4648;11986;839;559;4648;10544;3573;12762;0;46;60;318;1306;1642;0;0;2660;118807;176469
07/2017;14821;1349;13692;616;738;1349;10434;3943;13454;0;58;59;114;1199;1074;0;0;2329;118343;175495
08/2017;15029;1355;16678;645;412;1355;11307;4642;14422;0;42;58;98;1025;1314;0;0;2433;117133;174189
09/2017;15007;1282;13791;625;383;1282;10728;3587;12861;0;31;44;237;1161;1049;0;0;1982;117203;175037
10/2017;15634;1421;15638;676;429;1421;12534;3689;13347;0;27;44;163;708;1817;0;0;2848;117737;175464
11/2017;12687;1053;10644;571;268;1053;9926;3267;12674;0;44;35;163;1271;1338;0;0;2625;115819;171818
12/2017;11715;859;7095;349;431;859;6262;2056;7694;0;31;26;268;1079;753;0;0;1931;118576;173969
01/2018;10385;797;8783;375;177;797;8583;2312;9888;0;40;33;81;421;672;0;0;2082;117472;171308
02/2018;11865;1009;9959;558;361;1009;8481;3087;11537;0;48;33;98;799;1146;0;0;2246;115658;168992
03/2018;15331;1223;12762;458;743;1223;9770;3278;11442;0;48;32;126;931;1028;0;0;2116;117080;172079
04/2018;14458;1326;12356;593;705;1326;10304;3921;12373;0;71;46;126;871;1165;0;0;2181;114306;171222
05/2018;15622;1190;13254;490;659;1190;8261;3446;13662;0;53;44;121;885;1034;0;0;2142;117287;174473
06/2018;13974;3093;11933;424;247;3093;8204;4619;13793;0;67;42;158;956;2119;0;0;3068;116071;172608
07/2018;15399;1332;11185;626;257;1332;7849;4552;13832;0;64;51;202;1074;1335;0;0;2992;117501;171595
08/2018;19994;5135;12739;707;608;5135;9190;4275;13384;0;42;63;195;1724;1542;0;6;2544;120960;176409
09/2018;14367;1224;24279;708;3214;1223;6855;4969;13913;0;68;50;115;1034;1218;1;0;2544;124279;191195
10/2018;20979;1174;19266;528;6340;1149;9051;9344;16115;0;63;41;155;1147;1456;0;2;2531;130965;200854
11/2018;19328;2942;10922;486;4183;2942;10016;7506;13330;0;47;51;221;1161;1072;0;2;1858;133265;202023
12/2018;13526;52780;9185;314;882;50399;6687;4280;7433;0;25;36;94;647;869;0;0;1906;135592;205886
01/2019;11865;1675;14632;357;4041;1597;4661;2582;8384;0;19;24;97;700;868;0;2;2102;142160;219508
02/2019;14871;2109;14290;507;3257;2000;8978;4272;12874;0;35;37;110;966;892;0;0;1874;144796;222333
Total e-ProcV2;1298271;162700;727071;28831;80324;160109;676407;335183;812734;0;2848;2540;9828;47968;61628;1;12;1874;144796;222333
Total para esta Subseção;1298271;162700;727071;28831;80324;160109;676407;335183;812734;0;2848;2540;9828;47968;61628;1;12;1874;144796;222333
